Date,Open,High,Low,Close,Volume,AdjClose
11/18/1986,17221,17297,17221,17274,0,17274
11/19/1986,17252,17303,17200,17284,0,17284
11/20/1986,17314,17410,17265,17305,0,17305
11/21/1986,17331,17520,17331,17490,0,17490
11/25/1986,17658,17789,17658,17748,0,17748
11/26/1986,17747,17770,17687,17728,0,17728
11/27/1986,17748,17884,17748,17884,0,17884
11/28/1986,17903,18084,17903,18083,0,18083
12/1/1986,18339,18434,18308,18308,0,18308
12/2/1986,18327,18360,18132,18191,0,18191
12/3/1986,18200,18475,18200,18455,0,18455
12/4/1986,18453,18626,18453,18624,0,18624
12/5/1986,18616,18726,18613,18637,0,18637
12/8/1986,18609,18731,18609,18711,0,18711
12/9/1986,18711,18794,18585,18603,0,18603
12/10/1986,18601,18790,18595,18776,0,18776
12/11/1986,18777,18833,18723,18731,0,18731
12/12/1986,18733,18895,18721,18831,0,18831
12/15/1986,18831,18898,18732,18789,0,18789
12/16/1986,18802,18961,18802,18933,0,18933
12/17/1986,18939,18989,18699,18848,0,18848
12/18/1986,18844,18844,18644,18724,0,18724
12/19/1986,18718,18937,18713,18930,0,18930
12/22/1986,18949,18983,18824,18825,0,18825
12/23/1986,18830,18867,18793,18809,0,18809
12/24/1986,18833,18973,18833,18903,0,18903
12/25/1986,18910,18984,18741,18774,0,18774
12/26/1986,18759,18821,18735,18821,0,18821
1/5/1987,18703,18822,18635,18821,0,18821
1/6/1987,18851,19041,18851,18937,0,18937
1/7/1987,18941,18990,18684,18842,0,18842
1/8/1987,18844,18866,18753,18779,0,18779
1/9/1987,18769,18875,18765,18810,0,18810
1/12/1987,18794,18794,18651,18669,0,18669
1/13/1987,18655,18655,18526,18544,0,18544
1/14/1987,18539,18807,18539,18784,0,18784
1/16/1987,18794,19151,18794,19150,0,19150
1/19/1987,19137,19219,18986,19189,0,19189
1/20/1987,19190,19250,19162,19216,0,19216
1/21/1987,19215,19435,19215,19429,0,19429
1/22/1987,19428,19553,19374,19381,0,19381
1/23/1987,19378,19553,19361,19457,0,19457
1/26/1987,19554,19701,19536,19555,0,19555
1/27/1987,19567,19713,19562,19687,0,19687
1/28/1987,19700,19861,19700,19790,0,19790
1/29/1987,19783,19921,19735,19921,0,19921
1/30/1987,19929,20051,19871,20048,0,20048
2/2/1987,20041,20156,20041,20072,0,20072
2/3/1987,20084,20114,19894,19956,0,19956
